distance, pressure
0.0000e+00,3.9200e+02
5.0505e-01,3.8428e+02
1.0101e+00,3.7656e+02
1.5152e+00,3.6884e+02
2.0202e+00,3.6112e+02
2.5253e+00,3.5339e+02
3.0303e+00,3.4567e+02
3.5354e+00,3.3795e+02
4.0404e+00,3.3023e+02
4.5455e+00,3.2251e+02
5.0505e+00,3.1479e+02
5.5556e+00,3.0707e+02
6.0606e+00,2.9935e+02
6.5657e+00,2.9162e+02
7.0707e+00,2.8390e+02
7.5758e+00,2.7618e+02
8.0808e+00,2.6846e+02
8.5859e+00,2.6074e+02
9.0909e+00,2.5302e+02
9.5960e+00,2.4530e+02
1.0101e+01,2.3758e+02
1.0606e+01,2.2985e+02
1.1111e+01,2.2213e+02
1.1616e+01,2.1441e+02
1.2121e+01,2.0669e+02
1.2626e+01,1.9897e+02
1.3131e+01,1.9125e+02
1.3636e+01,1.8353e+02
1.4141e+01,1.7581e+02
1.4646e+01,1.6808e+02
1.5152e+01,1.6036e+02
1.5657e+01,1.5264e+02
1.6162e+01,1.4492e+02
1.6667e+01,1.3720e+02
1.7172e+01,1.2948e+02
1.7677e+01,1.2176e+02
1.8182e+01,1.1404e+02
1.8687e+01,1.0632e+02
1.9192e+01,9.8594e+01
1.9697e+01,9.0873e+01
2.0202e+01,8.5659e+01
2.0707e+01,8.4207e+01
2.1212e+01,8.2756e+01
2.1717e+01,8.1304e+01
2.2222e+01,7.9852e+01
2.2727e+01,7.8400e+01
2.3232e+01,7.6948e+01
2.3737e+01,7.5496e+01
2.4242e+01,7.4044e+01
2.4747e+01,7.2593e+01
2.5253e+01,7.1141e+01
2.5758e+01,6.9689e+01
2.6263e+01,6.8237e+01
2.6768e+01,6.6785e+01
2.7273e+01,6.5333e+01
2.7778e+01,6.3881e+01
2.8283e+01,6.2430e+01
2.8788e+01,6.0978e+01
2.9293e+01,5.9526e+01
2.9798e+01,5.8074e+01
3.0303e+01,5.6622e+01
3.0808e+01,5.5170e+01
3.1313e+01,5.3719e+01
3.1818e+01,5.2267e+01
3.2323e+01,5.0815e+01
3.2828e+01,4.9363e+01
3.3333e+01,4.7911e+01
3.3838e+01,4.6459e+01
3.4343e+01,4.5007e+01
3.4848e+01,4.3556e+01
3.5354e+01,4.2104e+01
3.5859e+01,4.0652e+01
3.6364e+01,3.9200e+01
3.6869e+01,3.7748e+01
3.7374e+01,3.6296e+01
3.7879e+01,3.4844e+01
3.8384e+01,3.3393e+01
3.8889e+01,3.1941e+01
3.9394e+01,3.0489e+01
3.9899e+01,2.9037e+01
4.0404e+01,2.7585e+01
4.0909e+01,2.6133e+01
4.1414e+01,2.4681e+01
4.1919e+01,2.3230e+01
4.2424e+01,2.1778e+01
4.2929e+01,2.0326e+01
4.3434e+01,1.8874e+01
4.3939e+01,1.7422e+01
4.4444e+01,1.5970e+01
4.4949e+01,1.4519e+01
4.5455e+01,1.3067e+01
4.5960e+01,1.1615e+01
4.6465e+01,1.0163e+01
4.6970e+01,8.7111e+00
4.7475e+01,7.2593e+00
4.7980e+01,5.8074e+00
4.8485e+01,4.3556e+00
4.8990e+01,2.9037e+00
4.9495e+01,1.4519e+00
5.0000e+01,0.0000e+00
